event,event_type,project,sponsor,award,placement,product_thesis,load_bearing_primitive,judge_visible_artifact,evidence_state,source_url,access_date
"Open Agents 2026","online","Mnemo Agents","0G","Best Autonomous Agents, Swarms & iNFT Innovations","flat award","Agent personas breed while lineage royalties flow to parents.","0G encrypted intelligence and iNFT lineage are the ownership primitive.","Mint; lineage; child agent; royalty flow.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/mnemo-agents-js7hy","2026-07-20"
"Open Agents 2026","online","Zuno","Uniswap Foundation","Best Uniswap API Integration","1st","Four agents debate every LP rebalance before the user signs.","Uniswap v4 state and execution are the bounded economic effect.","Debate; simulation; policy check; signed rebalance.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/zuno-h09mv","2026-07-20"
"Open Agents 2026","online","Moai","Uniswap Foundation","Best Uniswap API Integration","2nd","Delegated agent rescues out-of-range LP positions.","Uniswap Trading API and Universal Router perform atomic migration/harvest.","Position state; quote; atomic migration; tx.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/moai-u3zc7","2026-07-20"
"Open Agents 2026","online","Alps","Uniswap Foundation","Best Uniswap API Integration","3rd","Agent-managed vault keeps concentrated liquidity productive.","Uniswap v3/v4 positions and Trading API power real rebalances.","Mainnet positions; policy decision; rebalance bundles.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/alps-1yzq7","2026-07-20"
"Open Agents 2026","online","ENSign","ENS","Most Creative Use of ENS","1st","ENS subnames become passkey smart accounts with scoped agent permissions.","ENS naming and permission registries define wallet and agent authority.","Passkey account; subname; scoped/revoked permission.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/ensign-am7ya","2026-07-20"
"Open Agents 2026","online","Reckon402","ENS","Most Creative Use of ENS","2nd","Agent payments accumulate portable reputation and change escrow terms.","ENS resolution reads reputation that directly changes escrow behavior.","Payment; attestation; changed escrow tier.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/reckon402-y1gr3","2026-07-20"
"Open Agents 2026","online","Hermes","ENS","Most Creative Use of ENS","3rd","Agents exchange signed encrypted messages by name without a relay.","ENS records are public-key and inbox discovery infrastructure.","Resolved key; encrypted envelope; inbox event; decrypted reply.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/hermes-fonos","2026-07-20"
"Open Agents 2026","online","Skillname","ENS","Best ENS Integration for AI Agents","3rd","Agents resolve a name and dynamically load verified skill bundles.","ENS records provide identity, discovery, metadata, and content pointer.","ENS resolution; bundle hash; live tool registration.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/skillname-32dra","2026-07-20"
"HackMoney 2026","online","CrossLiquid","Uniswap Foundation","Uniswap v4 Agentic Finance","1st","Agent moves and rebalances concentrated liquidity across L2s.","Uniswap v4 positions and dynamic-fee hook are the yield engine.","Opportunity score; bridge/rebalance; live position.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/crossliquid-mkd54","2026-07-20"
"HackMoney 2026","online","EIDOLON","Uniswap Foundation","Uniswap v4 Agentic Finance","2nd","Wallet-held ghost liquidity materializes only at execution.","Uniswap v4 hooks and Permit2 Witness bind JIT liquidity to a pool/action.","Signed intent; hook execution; funds return to wallet.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/eidolon-f351g","2026-07-20"
"HackMoney 2026","online","Uniforum","Uniswap Foundation","Uniswap v4 Agentic Finance","3rd","Strategy agents debate and execute only after quorum.","Uniswap v4 state/Universal Router close the consensus-to-action loop.","Debate; vote; simulation; onchain action.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/uniforum-psxf2","2026-07-20"
"HackMoney 2026","online","PrivBatch","Uniswap Foundation","Uniswap v4 Privacy DeFi","1st","Private batched agent swaps reduce intent leakage and MEV.","Uniswap v4 hook, commit-reveal, and ZK proof enforce batch settlement.","Commit; proof; aggregate delta; batch settlement.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/privbatch-d3sge","2026-07-20"
"HackMoney 2026","online","VeilSwap","Uniswap Foundation","Uniswap v4 Privacy DeFi","2nd","MPC nodes privately allocate and settle swap intents.","Uniswap v4 settlement plus threshold MPC protects order information.","Intent; node shares; aggregate signatures; batch settlement.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/veilswap-2y9sd","2026-07-20"
"HackMoney 2026","online","Waiola","Uniswap Foundation","Uniswap v4 Privacy DeFi","3rd","Private RFQ discovery and settlement avoids public quote leakage.","Uniswap v4 hook enforces settlement; ENS discovers makers.","Maker record; private quote; hook settlement.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/waiola-ug402","2026-07-20"
"HackMoney 2026","online","OverFlow","Sui","Best Overall Project","winner","Real-time binary options use Sui custody and oracle-linked resolution.","Sui Move treasury and events anchor funds and state.","Deposit/withdraw tx; live market; oracle-bound outcome.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/overflow-drtcd","2026-07-20"
"HackMoney 2026","online","Pay402","Sui","Notable Projects","flat award","OAuth users make gas-sponsored x402 USDC payments on Sui.","zkLogin, PTBs, gas sponsorship, and Sui receipt events enable the UX.","OAuth; reviewed PTB; testnet payment; receipt.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/pay402-zjrbf","2026-07-20"
"HackMoney 2026","online","Reputa","Sui","Notable Projects","flat award","Portable cross-chain credit score changes DeFi terms.","Sui Move records verified score objects; TEE supplies attestation.","Score proof; owned object; lending decision.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/reputa-wda0t","2026-07-20"
"HackMoney 2026","online","Zebra","Sui","Notable Projects","flat award","Sui-native dark pool hides orders until settlement.","Move, native Groth16, Seal, PTBs, and DeepBook form the privacy pipeline.","Proof; encrypted order; TEE match; atomic PTB.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/zebra-apirw","2026-07-20"
"HackMoney 2026","online","Calibr","Sui","Notable Projects","flat award","Long-term decision quality becomes a composable owned reputation object.","Sui owned/shared objects make reputation persistent and markets parallel.","Prediction; resolution; atomic payout/reputation update.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/calibr-w5s9z","2026-07-20"
"HackMoney 2026","online","DeFi Butler","ENS","Most Creative Use of ENS for DeFi","flat award","ENS preferences drive cross-chain yield routing.","ENS text records are executable risk/chain/protocol policy.","Record write/read; route derived from preference; execution.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/defi-butler-wm0bd","2026-07-20"
"HackMoney 2026","online","GridGame-HyperSwiper","ENS","Most Creative Use of ENS for DeFi","flat award","Portable ENS performance records drive onchain-game matchmaking.","ENS records actively set matchmaking and risk parameters.","Profile record; matched game; settlement; rank update.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/gridgame-hyperswiper-dytxo","2026-07-20"
"HackMoney 2026","online","KITE","ENS","Most Creative Use of ENS for DeFi","flat award","A recipient's ENS name becomes a programmable cross-chain payment endpoint.","ENS text records set preferred chain, token, and vault.","Preference update; resolved route; deposit/transfer result.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/kite-13hvo","2026-07-20"
"HackMoney 2026","online","Takeaway","ENS","Most Creative Use of ENS for DeFi","flat award","Chain-specific subnames route receipts from any source chain.","ENS subname/text record determines destination and address.","Subname setup; resolution; bridge; destination receipt.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/takeaway-xx1h8","2026-07-20"
"HackMoney 2026","online","ACN","ENS","Most Creative Use of ENS for DeFi","flat award","Agent work and payment outcomes produce portable reputation.","ENS subnames and records bind identity, capabilities, and reputation.","Task; escrow outcome; ENS reputation update.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/acn-38ima","2026-07-20"
"HackMoney 2026","online","GrimSwap","ETHGlobal","HackMoney 2026 Finalist","finalist","ZK and stealth-address DEX breaks sender-recipient linkage.","Uniswap v4 hook and Groth16 enforce the private swap lifecycle.","Deposit; proof; private swap; stealth claim.","FINALIST_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/grimswap-ntdmp","2026-07-20"
"HackMoney 2026","online","Xpack","ETHGlobal","HackMoney 2026 Finalist","finalist","Package installs become direct crypto-native paid products.","Install-time payment gate controls package delivery.","Install request; payment; package release.","FINALIST_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/xpack-myrx1","2026-07-20"
"HackMoney 2026","online","Oikonomos","ETHGlobal","HackMoney 2026 Finalist","finalist","Paired agents launch and manage token portfolios.","Delegated wallets, ENS identities, and Uniswap execution form a complete operator loop.","Agent launch; delegation; fee claim; distribution.","FINALIST_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/oikonomos-w6z57","2026-07-20"
"HackMoney 2026","online","router402","ETHGlobal","HackMoney 2026 Finalist","finalist","LLM gateway charges exact pay-per-use micropayments.","x402 settlement and typed self-custodial routing close each API call.","API call; payment; model response; receipt.","FINALIST_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/router402-b717q","2026-07-20"
"HackMoney 2026","online","AutoPay","ETHGlobal","HackMoney 2026 Finalist","finalist","Non-custodial USDC subscription policies replace card billing.","Onchain policy, cap, interval, and soft-failure events govern charges.","Create policy; charge; failure; cancellation.","FINALIST_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/autopay-n8ot7","2026-07-20"
"ETHGlobal Buenos Aires 2025","in-person","Aqua Outcome Market","1inch","Build an Aqua App","1st","Shared liquidity powers capital-efficient outcome markets.","Aqua/SwapVM custom AMM instructions and virtual reserves are core.","Custom curve; JIT liquidity; outcome-token transfer.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/aqua-outcome-market-0va0j","2026-07-20"
"ETHGlobal Buenos Aires 2025","in-person","Cleverly Using Money","1inch","Build an Aqua App","2nd","Privacy-pool capital earns through Aqua strategies.","Private vault routes reusable liquidity into Aqua.","Deposit proof; Aqua position; private withdrawal/yield.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/cleverly-using-money-pogqu","2026-07-20"
"ETHGlobal Buenos Aires 2025","in-person","aqua-flash-loans","1inch","Build an Aqua App","2nd","Aqua unlocks lower-gas flash loans for long-tail assets.","Official Aqua app executes configurable single/dual flash loans.","Loan transfer/repay trace and gas benchmark.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/aqua-flash-loans-egocw","2026-07-20"
"ETHGlobal Buenos Aires 2025","in-person","Coco","1inch","Build an Aqua App","2nd","Self-custodial savings routes wallet liquidity to Aqua strategies.","Aqua strategy discovery/routing is the yield path.","Position; APR/risk view; enter/exit trace.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/coco-dvaxo","2026-07-20"
"ETHGlobal Buenos Aires 2025","in-person","Aqua0","1inch","Build an Aqua App","4th","Cross-chain shared liquidity composes Aqua AMMs.","Custom Aqua apps implement stable/concentrated curves across chains.","Two deployments; cross-chain message; token movement.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/aqua0-u2krx","2026-07-20"
"ETHGlobal Buenos Aires 2025","in-person","ProaqctiveMM","1inch","Build an Aqua App","4th","Oracle-aware PMM concentrates liquidity around fair price.","Aqua/SwapVM strategy adjusts from live oracle data.","Oracle update; pricing change; swap.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/proaqctivemm-f0y6v","2026-07-20"
"ETHGlobal Buenos Aires 2025","in-person","1Wave","1inch","Build an Aqua App","4th","Basket vault rebalances shared liquidity against impermanent loss.","Aqua virtual liquidity and atomic rebalance are the mechanism.","Vault weights; swap; atomic rebalance.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/1wave-9ypfs","2026-07-20"
"ETHGlobal Buenos Aires 2025","in-person","Agentica","The Graph","Best Use of The Graph for AI Use Cases","winner","Agent trades using live onchain activity plus user risk preferences.","Graph Amp data supplies the load-bearing market signal.","Live query; explained decision; trade.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/agentica-30neq","2026-07-20"
"ETHGlobal Buenos Aires 2025","in-person","RangeSeeker","The Graph","Best Use of Amp Datasets","2nd","Intent-driven agent manages LP ranges from live volatility.","Amp swap history drives volatility, monitoring, and rebalances.","Live range; query; rebalance reason; tx.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/rangeseeker-0z8zx","2026-07-20"
"ETHGlobal Buenos Aires 2025","in-person","ALA","The Graph","Best Use of Amp Datasets","3rd","Crowdsourced models compete to improve market-maker parameters.","Graph data compiler/backtests feed Uniswap hook decisions.","Generated query; backtest; model decision; pool change.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/ala-nxpw2","2026-07-20"
"ETHGlobal Cannes 2026","in-person","DIVE","World; Hedera; 0G","World Minikit 2.0 1st; Hedera AI & Agentic Payments; 0G OpenClaw Agent 2nd","multi-award finalist","Human-backed agent committees resolve oracle disputes.","World uniqueness, 0G evidence/reasoning, and Hedera consensus/value each own a guarantee.","Evidence; commit/reveal; consensus; settlement.","AWARD_AND_FINALIST_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/dive-5hxbp","2026-07-20"
"ETHGlobal Cannes 2026","in-person","VEIL VPN","World; ENS","World ID 4.0 1st; ENS creative 1st","multi-award finalist","Attested no-log VPN nodes provide human-gated private service.","World gates humans; ENS discovers attested nodes.","Attestation; name resolution; paid session.","AWARD_AND_FINALIST_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/veil-vpn-c643n","2026-07-20"
"ETHGlobal Cannes 2026","in-person","Shawarma Orchestrate","0G","Best DeFi App on 0G","1st","Bounded agent orchestration turns analysis into DeFi action.","0G Compute/Storage support reasoning and memory before execution.","Plan; confidence; approval; swap/position action.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/shawarma-orchestrate-rfyhe","2026-07-20"
"ETHGlobal New York 2026","in-person","Proof-of-Human","World","Track A AgentKit","1st","One verified human gets one scarce trial/raffle slot.","World proof is the uniqueness constraint.","Verified entry; duplicate denial; deterministic draw; payment.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/proof-of-human-1cg2d","2026-07-20"
"ETHGlobal New York 2026","in-person","Better Wallet","Uniswap Foundation","Best Uniswap Stack Contribution","winner","Air-gapped clear signing makes DeFi transactions understandable.","Uniswap flow is carried through a tangible offline signing path.","Unsigned payload; NFC transfer; hardware review; tx.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/better-wallet-yvjdh","2026-07-20"
"ETHGlobal New York 2026","in-person","AgentIndex","ENS","Best ENS Integration for AI Agents","2nd","Explainable reputation helps agents select counterparties.","ENS identity enriches indexed ERC-8004 history and changes routing.","Resolved agent; factor breakdown; anomaly/rank.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/agentindex-psxxo","2026-07-20"
"ETHGlobal New York 2026","in-person","Azimuth","Sui; Hedera; ENS","multiple partner awards","winner","Durable capture combines storage, automation, rewards, and identity.","Walrus stores; Hedera schedules/accounts; ENS resolves identity.","Blob; scheduled action; payment; name resolution.","AWARD_CONFIRMED; RUNTIME_SHOWCASE_AUTHORED","https://ethglobal.com/showcase/azimuth-7w256","2026-07-20"
