partner,partner_pool_usd,track,category,payout_ladder_usd,first_slot_cap_usd,mandatory_native_primitive,required_evidence,state,source_url,access_date,notes
"0G",15000,"Best AI Product on 0G","standard product","3000;2000;1000",3000,"Working product using 0G Compute/Private Computer inference","Public repo; addresses; runnable/live build; <3 minute video; inference proof","CONFIRMED","https://ethglobal.com/events/lisbon2026/prizes/0g","2026-07-23","Agentic ID projects also need an explorer link."
"0G",15000,"Best Infrastructure & Tooling on 0G","standard tooling","1500 x 3 teams",1500,"Reusable framework/SDK/primitive/tool integrated with 0G","Public repo; one working example; <3 minute video; architecture recommended","CONFIRMED","https://ethglobal.com/events/lisbon2026/prizes/0g","2026-07-23","Treat as alternate to Product absent written stacking confirmation."
"0G",15000,"Keep Building on 0G","Continuity only","1500 x 3 teams",1500,"Meaningful Lisbon-window progress on an existing 0G project","Prior-state hash; dated changelog; public repo; runnable/live build; <3 minute video","CONFIRMED","https://ethglobal.com/events/lisbon2026/prizes/0g","2026-07-23","Only Continuity participants qualify."
"Uniswap Foundation",10000,"Best Uniswap API Integration","standard","4000;2000;1000",4000,"Valid Developer Platform API key drives core routing execution payment liquidity or coordination","Public repo; FEEDBACK.md; completed feedback form; README code pointers","CONFIRMED","https://ethglobal.com/events/lisbon2026/prizes/uniswap-foundation","2026-07-23","Feedback form availability does not prove completion."
"Uniswap Foundation",10000,"Best Uniswap Stack Contribution","Continuity only","1000;1000;1000",1000,"Meaningful open-source Uniswap stack contribution","Public repo; FEEDBACK.md; completed feedback form; README code pointers","CONFIRMED","https://ethglobal.com/events/lisbon2026/prizes/uniswap-foundation","2026-07-23","Only Continuity participants qualify."
"Sui",6000,"Best app built on Sui","new project","2000 x 2 teams",2000,"New market-viable app with load-bearing Sui stack","Working Sui Testnet or Mainnet demo","CONFIRMED","https://ethglobal.com/events/lisbon2026/prizes/sui","2026-07-23","Superficial add-on does not qualify."
"Sui",6000,"Best existing app integrating or porting the Sui stack","Continuity only","2000",2000,"Core Move/Walrus/Seal/DeepBook/zkLogin integration or port","Working integration demo and prior-product provenance","CONFIRMED","https://ethglobal.com/events/lisbon2026/prizes/sui","2026-07-23","Only Continuity participants qualify."
"ENS",5000,"Most Creative Use of ENS","standard","1500",1500,"Functional non-cosmetic ENS capability","Non-hardcoded demo; video/live link; Sunday-morning booth","CONFIRMED","https://ethglobal.com/events/lisbon2026/prizes/ens","2026-07-23","Booth requirement is explicit."
"ENS",5000,"Best ENS Integration for AI Agents","standard","1500",1500,"ENS materially improves agent identity discovery metadata or fleet coordination","Non-hardcoded demo; video/live link; Sunday-morning booth","CONFIRMED","https://ethglobal.com/events/lisbon2026/prizes/ens","2026-07-23","Cosmetic naming is insufficient."
"ENS",5000,"Best ENS Continuity Integration","Continuity only","2000",2000,"Meaningful event-window ENS capability in an existing product","Functional demo; video/live link; Sunday-morning booth","CONFIRMED","https://ethglobal.com/events/lisbon2026/prizes/ens","2026-07-23","Only Continuity participants qualify."
