event,project_name,status,award_or_signal,verticals,core_user_pain,sponsor_native_mechanics,judge_visible_artifacts,why_it_likely_won_or_finaled,lisbon_transfer_pattern,confidence,source_url,access_date
ETHGlobal Cannes 2026,OpenCompliance,track winner,"Chainlink - Best usage of Chainlink privacy standard","institutional DeFi; compliance; privacy","Institutional DeFi needs per-trade compliance without exposing sensitive data publicly.","Chainlink CRE/privacy standard orchestrates confidential checks; Arc smart contracts handle compliant transfer logic.","Compliance decision, attestation, transfer allowed/denied path.","It matched a high-value institutional use case and used Chainlink privacy as the central execution path.","Privacy/compliance ideas should show a before/after transaction path, not a whitepaper.",high,https://ethglobal.com/showcase/opencompliance-b89x9,2026-06-22
ETHGlobal Cannes 2026,SENTINEL,track winner,"Flare - Next generation of apps with TEE Extensions and Smart Accounts 3rd place","AML; wallet risk; attestations; TEE","Wallet risk scoring is opaque and hard to trust.","TEE nodes score risk, CRE-like aggregation combines outputs, onchain proofs record attestations.","Wallet score, attestation proof, payment or access decision.","It converted compliance scoring into verifiable infrastructure with a visible risk artifact.","Risk tools need a product decision tied to the score: route, block, price, or escalate.",high,https://ethglobal.com/showcase/sentinel-91nv5,2026-06-22
ETHGlobal Cannes 2026,Shawarma Orchestrate,track winner,"0G - Best DeFi App on 0G 1st place","AI DeFi; agent orchestration; 0G compute/storage","DeFi automation needs trustworthy multi-agent planning and execution.","0G Compute/Storage supports agent reasoning and memory; Uniswap execution closes the loop.","Agent plan, confidence threshold, optional human approval, final swap or position action.","It likely won because it made 0G infrastructure visible inside a useful DeFi loop instead of only storing prompts.","Use AI infra when the model output changes an economic action and leaves a verifiable trail.",high,https://ethglobal.com/showcase/shawarma-orchestrate-rfyhe,2026-06-22
ETHGlobal New York 2026,Proof-of-Human,track winner,"World - Track A AgentKit 1st place","scarce drops; human verification; agent access","Bots and Sybil farms break scarce-goods drops and trials.","World AgentKit maps an agent to a verified human; app enforces one verified human per raffle slot.","Verified entry, duplicate prevention, deterministic draw, USDC settlement.","It matched World criteria exactly: the product breaks without proof of human, and the demo loop is resettable.","World ideas should make personhood a functional constraint: quota, eligibility, reputation, or fairness.",high,https://ethglobal.com/showcase/proof-of-human-1cg2d,2026-06-22
ETHGlobal New York 2026,Nyx,track winner,"Chainlink; Canton Foundation - TradFi, RWA and Tokenized Assets 1st place","private DeFi; RWA collateral; perps","Perp traders leak positions, order flow, and collateral details.","Canton/Daml private settlement and Chainlink-connected workflows support private finance with RWA collateral.","Private orderbook boundary, collateral proof, settlement artifact.","It combined a familiar DeFi primitive with a privacy/RWA twist that maps to sponsor priorities and real market pain.","For Lisbon, privacy wins when it protects a concrete financial workflow, not just a generic message.",high,https://ethglobal.com/showcase/nyx-prk3o,2026-06-22
ETHGlobal New York 2026,AgentIndex,track winner,"ENS - Best ENS Integration for AI Agents 2nd place","agent reputation; indexing; ENS; ERC-8004","Agent marketplaces need trust signals before autonomous payments.","ERC-8004 registry history is indexed; ENS links agent identity; trust scores flag anomalies and reviewer independence.","Agent search, reputation breakdown, ENS resolution, anomaly flag.","It made ENS useful for discovery and reputation in the agent economy, not only naming.","Combine ENS with indexed behavior and reputation if building agent directories.",high,https://ethglobal.com/showcase/agentindex-psxxo,2026-06-22
ETHGlobal New York 2026,Better Wallet,track winner,"Uniswap - Best Uniswap Stack Contribution","wallet security; clear signing; hardware","Users sign complex DeFi transactions without understanding them.","Airgapped hardware, NFC payload transfer, mobile review, and Uniswap flow support safer swaps.","Physical device loop, unsigned payload, review screen, signed tx.","It had a tangible demo and contributed to a high-risk UX layer judges can inspect directly.","Hardware or wallet ideas need one crisp unsafe-signing moment and one safer replacement flow.",high,https://ethglobal.com/showcase/better-wallet-yvjdh,2026-06-22
ETHGlobal New York 2026,Clawback,track winner,"ENS pool prize; agent payment escrow signal","agent commerce; escrow; disputes; reputation","Autonomous agents need chargeback/dispute mechanics before buyers trust them.","x402-style payments enter escrow; Arc handles settlement; Chainlink/attester reviews disputes; ENS/ERC-8004 mirrors reputation.","Payment request, escrow lock, dispute path, reputation update.","It attacked the missing refunds layer for machine commerce and connected payment, adjudication, and reputation.","Agent commerce ideas should include failure handling: refund, dispute, reputation, or reversal.",high,https://ethglobal.com/showcase/clawback-vpmw2,2026-06-22
ETHGlobal New York 2026,AgentRankr,track winner,"Hedera - Autonomous On-Chain Automation Platform","agent reputation; BigQuery; ENS; ERC-8004","Agents need credible counterparties before they transact.","Hedera or indexed registry data supports scoring; ENS resolves identities; ERC-8004 gives agent registry semantics.","Ranked agent list, score factors, anomaly flags, link to onchain history.","It solved a horizontal trust bottleneck for the agent economy with visible ranking artifacts.","Build a trust layer only if every score is explainable and tied to action routing.",medium,https://ethglobal.com/showcase/agentrankr-xe2vj,2026-06-22
ETHGlobal New York 2026,Azimuth,track winner,"Sui/Walrus storage; Hedera automation; ENS continuity","storage; automation; identity continuity","Agent/data apps need durable storage, automation, and stable identity across systems.","Walrus stores data, Hedera automates/accounting, ENS continuity resolves identity.","Stored object, scheduled or automated action, ENS resolution path.","It won through coherent multi-sponsor architecture: each sponsor handled a different part of one workflow.","Multi-sponsor projects work when each primitive has a separate job: identity, storage, compute, payment, or settlement.",medium,https://ethglobal.com/showcase/azimuth-7w256,2026-06-22
ETHGlobal New York 2026,Ballast,track winner,"1inch Aqua signal","liquidity; leverage; DeFi strategy","LP capital is fragmented across strategies and risk is hard to price.","1inch Aqua/shared-liquidity mechanics anchor strategy execution and capital allocation.","Strategy setup, liquidity accounting, routing or oracle-anchored output.","It mapped directly to a sponsor-native primitive with a recognizable DeFi performance angle.","For 1inch/Uniswap, make liquidity/routing improvement measurable: price, slippage, risk, or capital efficiency.",medium,https://ethglobal.com/showcase/ballast-7jpyp,2026-06-22
ETHGlobal New York 2026,Smile,track winner signal,"Official showcase prize metadata signal","options; DeFi; prediction markets","Retail-style options are still hard to access onchain.","Onchain options market with clear settlement and collateral logic.","Option creation, pricing, collateral, expiry settlement.","It likely scored because it turned a known financial primitive into a product judges can understand quickly.","Complex finance ideas need simple visible lifecycle: create, price, trade, settle.",medium,https://ethglobal.com/showcase/smile-fictr,2026-06-22
ETHGlobal New York 2026,Carry,strong project pattern,"No award confirmed in this pass","LP analytics; Uniswap; LVR","LP dashboards show gross APR while hiding loss-versus-rebalancing drag.","Reads live Uniswap/Base state, models volatility/range economics, and ranks net carry.","Live range drag, net APR, leaderboard, wallet positions.","Even without confirmed prize status, it is a high-quality pattern: teach a hidden DeFi risk with live data and immediate UI feedback.","A Lisbon DeFi tool can win by replacing vanity APR with a better decision metric.",high,https://ethglobal.com/showcase/carry-b4wcm,2026-06-22
ETHGlobal New York 2026,Scoutxyz,strong project pattern,"No award confirmed in this pass","event networking; agents; World; ENS; x402","Event networking is noisy and high-intent contacts are hard to surface.","World ID, ENS, Dynamic wallets, x402-paid enrichment, and agent timelines combine identity, payments, and discovery.","Attendee profile, agent search, paid enrichment, contact recommendation.","It is useful ideation evidence because it turns event context into agent-mediated commerce and discovery.","Use Lisbon attendees as a live network only if identity/payment signals improve matching quality.",medium,https://ethglobal.com/showcase/scoutxyz-rwueo,2026-06-22
ETHGlobal New York 2026,Canary; Accrue; Void Tactics; LYNX; Distro; UNSU; update; Proof of Scan; The Wallet Shift; Immunity; Cumulant,finalist list signal,"Official ETHGlobal X/search-indexed top finalist announcement","mixed; unresolved","Official social/index sources identify the top finalist slate; individual project enrichment remains incomplete.","Unresolved until each official project page is rechecked.","Official finalist announcement plus showcase pages where available.","Do not use for fine-grained strategy until project notes are enriched; use only to flag unresolved finalist coverage.","Weekly/next enrichment task should resolve names, slugs, awards, and why-it-won analysis per finalist.",medium,https://x.com/ETHGlobal/status/2066247659661545564,2026-06-22
