project_id,event,project_name,url,tagline,status,finalist,winner,prizes,verticals,protocols,problem,solution,why_it_likely_won,lisbon_relevance,source_url
better-wallet-yvjdh,ETHGlobal New York 2026,Better Wallet,https://ethglobal.com/showcase/better-wallet-yvjdh,"Open-source airgapped hardware wallet with clear signing for safer self-custody",light,false,true,"Official showcase listing indicates prize metadata","wallet security; hardware","Uniswap likely; wallet stack","Self-custody signing remains unsafe and opaque.","Airgapped signer plus mobile UX for clear signing and swaps.","Security + tangible hardware demo.","Relevant to Lisbon wallet-security ideas.",https://ethglobal.com/showcase/better-wallet-yvjdh
ballast-7jpyp,ETHGlobal New York 2026,Ballast,https://ethglobal.com/showcase/ballast-7jpyp,"Ballast - leveraged, oracle-anchored liquidity on 1inch Aqua",light,false,true,"Official showcase listing indicates prize metadata","liquidity; leverage; DeFi","1inch","Liquidity strategies need better risk anchoring.","Leveraged AMM/oracle-anchored swap instructions.","Sponsor-native 1inch Aqua integration.","Relevant to Lisbon 1inch/Uniswap DeFi strategy.",https://ethglobal.com/showcase/ballast-7jpyp
maki-564eg,ETHGlobal Cannes 2026,maki,https://ethglobal.com/showcase/maki-564eg,"Maki - AI agent for onchain DeFi. Keys locked in hardware, unreachable by the model.",deep,true,false,"ETHGlobal Cannes 2026 Finalist","DeFi agents; wallet safety; hardware signing","World; Uniswap; hardware wallet stack","A model should not be able to directly move funds from a user wallet.","LLM interprets intent while deterministic wallet-core/protocol adapters simulate and build transactions; hardware approval signs.","Finalist-level controlled-agent execution with clear safety boundary.","Strong Lisbon model for policy-checked agent DeFi and clear signing.",https://ethglobal.com/showcase/maki-564eg
npmguard-aeihd,ETHGlobal Cannes 2026,npmguard,https://ethglobal.com/showcase/npmguard-aeihd,"AI and static/dynamic audit reports for npm packages, published through ENS/IPFS-style trust records",deep,true,true,"ENS - Most Creative Use of ENS 3rd place; ETHGlobal Finalist","developer security; package reputation; ENS registry","ENS; IPFS","Package supply-chain risk is hard to inspect and share at install time.","Audits packages and publishes scores/reports through ENS-resolvable records.","ENS is used as a trust registry, not a profile label.","Good Lisbon model for ENS-based artifact registries.",https://ethglobal.com/showcase/npmguard-aeihd
paintglobal-v4pwo,ETHGlobal Cannes 2026,PaintGlobal,https://ethglobal.com/showcase/paintglobal-v4pwo,"Onchain art gallery tied to physical NFC identity and one-participant-one-vote ranking",deep,true,false,"ETHGlobal Cannes 2026 Finalist","event consumer; physical identity; NFT auctions","NFC; Ethereum","Event voting and participation can be Sybil-prone or detached from real attendance.","NFC wristbands connect physical participants to onchain votes and gallery outcomes.","Memorable event-local demo with hard-to-fake identity signal.","Useful Lisbon model if the event itself becomes a proof source.",https://ethglobal.com/showcase/paintglobal-v4pwo
corpus-j7an5,ETHGlobal Cannes 2026,Corpus,https://ethglobal.com/showcase/corpus-j7an5,"Turn any product into an autonomous AI agent corp that runs GTM, trades, and earns",light,true,false,"ETHGlobal Cannes 2026 Finalist","agent companies; product automation; tokenized ownership","agent stack; wallets; likely ENS/payments","Products need autonomous GTM and operations without a full team.","Deploys product-specific agents with revenue/ownership mechanics.","Agent-native story with product, treasury, and ownership loop.","Relevant for Lisbon if agents have budget, identity, and measurable output.",https://ethglobal.com/showcase/corpus-j7an5
defi-e9zii,ETHGlobal Cannes 2026,Defi,https://ethglobal.com/showcase/defi-e9zii,"Gamified 1v1 live DeFi trading competition platform",light,true,false,"ETHGlobal Cannes 2026 Finalist","gamified DeFi; consumer crypto; leverage","Ethereum L2s; DeFi","DeFi trading is hard to learn and lacks clear social game loops.","Turns leveraged positions into timed duels with objective PnL settlement.","Simple visible win condition and consumer-friendly framing.","Relevant Lisbon model for game-like DeFi with deterministic settlement.",https://ethglobal.com/showcase/defi-e9zii
alma-unresolved,ETHGlobal Cannes 2026,ALMA,https://x.com/ETHGlobal/status/2040805061899723200,"Official Cannes finalist list includes ALMA; project-page enrichment unresolved",light,true,false,"ETHGlobal Cannes 2026 Finalist","unresolved","unresolved","Project detail was not enriched in this pass.","Retain as source-audit gap until official showcase page is resolved.","Included to keep Cannes top-10 finalist coverage honest.","Do not use for strategy until source enrichment is complete.",https://x.com/ETHGlobal/status/2040805061899723200
evm-porst-kkcfo,ETHGlobal Cannes 2026,EVM PORST,https://ethglobal.com/showcase/evm-porst-kkcfo,"The PORST signature scheme is a superior building block on the EVM than existing post-quantum implementations",deep,true,false,"ETHGlobal Cannes 2026 Finalist","post-quantum cryptography; EVM primitives","Ethereum","Existing post-quantum signature implementations can be inefficient for EVM use.","Implements or demonstrates PORST as an EVM-friendly signature primitive.","High technical originality and primitive-level relevance.","Relevant if Lisbon idea includes benchmarks, primitives, or security tooling.",https://ethglobal.com/showcase/evm-porst-kkcfo
opencompliance-b89x9,ETHGlobal Cannes 2026,OpenCompliance,https://ethglobal.com/showcase/opencompliance-b89x9,"Shared compliance layer for institutional DeFi",deep,false,true,"Chainlink - Best usage of Chainlink privacy standard","institutional DeFi; privacy; compliance","Chainlink CRE; Arc","Institutional DeFi needs compliance checks without exposing sensitive data.","Orchestrates identity and per-trade checks with private workflow attestations.","Sponsor-native privacy/compliance path with an allow/deny transaction outcome.","Strong Lisbon model for private policy routers.",https://ethglobal.com/showcase/opencompliance-b89x9
sentinel-91nv5,ETHGlobal Cannes 2026,SENTINEL,https://ethglobal.com/showcase/sentinel-91nv5,"Decentralized AML scoring protocol with TEE nodes, aggregation, and verifiable onchain proofs",deep,false,true,"Flare - Next generation of apps with TEE Extensions and Smart Accounts 3rd place","AML; TEE; wallet risk; attestations","Flare; TEE; Chainlink-like aggregation","Wallet risk scores are opaque and difficult to trust.","Scores risk offchain, aggregates results, and records verifiable attestations.","Turns compliance risk into an inspectable artifact.","Relevant for Lisbon risk scoring if score changes routing or access.",https://ethglobal.com/showcase/sentinel-91nv5
shawarma-orchestrate-rfyhe,ETHGlobal Cannes 2026,Shawarma Orchestrate,https://ethglobal.com/showcase/shawarma-orchestrate-rfyhe,"Multi-agent DeFi orchestration using 0G compute/storage, confidence thresholds, and optional human approval",deep,false,true,"0G - Best DeFi App on 0G 1st place","AI DeFi; orchestration; agent safety","0G; Uniswap","Autonomous DeFi agents need verifiable planning and controlled execution.","Uses 0G infrastructure for agent reasoning/memory and routes approved actions to DeFi execution.","0G is in the critical path of the DeFi loop.","Strong Lisbon model for AI infra tied to economic action.",https://ethglobal.com/showcase/shawarma-orchestrate-rfyhe
agentindex-psxxo,ETHGlobal New York 2026,AgentIndex,https://ethglobal.com/showcase/agentindex-psxxo,"Ranks ERC-8004 agents by onchain reputation, flags x402 agents, and resolves ENS",deep,false,true,"ENS - Best ENS Integration for AI Agents 2nd place","agent reputation; ENS; ERC-8004; indexing","ENS; ERC-8004; BigQuery","Agent economies need trust and discoverability before autonomous transactions.","Indexes registry history, resolves ENS identities, and computes reputation/anomaly signals.","Turns ENS into a discovery and trust primitive.","High Lisbon relevance for ENS + The Graph agent reputation products.",https://ethglobal.com/showcase/agentindex-psxxo
agentrankr-xe2vj,ETHGlobal New York 2026,AgentRankr,https://ethglobal.com/showcase/agentrankr-xe2vj,"Ranks ERC-8004 agents by on-chain reputation computed in BigQuery; flags x402 agents, resolves ENS",deep,false,true,"Hedera - Autonomous On-Chain Automation Platform","agent reputation; automation; ENS","Hedera; ENS; ERC-8004; x402","Autonomous agents need credible counterparties and routeable trust signals.","Computes trust scores from onchain and registry activity and exposes agent rankings.","Good artifact density: ranked list, score reasons, identity links.","Relevant to Lisbon agent marketplace and reputation ideas.",https://ethglobal.com/showcase/agentrankr-xe2vj
carry-b4wcm,ETHGlobal New York 2026,Carry,https://ethglobal.com/showcase/carry-b4wcm,"Carry shows your true LP return on Uniswap - net of LVR, not headline APR",deep,false,false,"Strong official project pattern; no award confirmed in this pass","LP analytics; DeFi risk; Uniswap","Uniswap; Dynamic; Base","LP dashboards overstate returns by ignoring loss-versus-rebalancing.","Models realized volatility, time-in-range, fee share, and LVR to produce net APR recommendations.","Excellent demo because one hidden risk becomes a visible decision metric.","Strong Lisbon model for Uniswap/1inch/The Graph risk dashboards.",https://ethglobal.com/showcase/carry-b4wcm
scoutxyz-rwueo,ETHGlobal New York 2026,Scoutxyz,https://ethglobal.com/showcase/scoutxyz-rwueo,"White-label networking for events where attendees get personal AI agents",light,false,false,"Strong official project pattern; no award confirmed in this pass","event networking; agents; identity; paid enrichment","World; ENS; Dynamic; x402","Event networking is noisy and high-intent contacts are hard to find.","Uses verified identity, ENS, wallets, paid enrichment, and agent timelines for matching.","Combines local context with agent-mediated discovery and payments.","Relevant if Lisbon event data becomes a proof/matching signal.",https://ethglobal.com/showcase/scoutxyz-rwueo
kickoff-aivy-studio-f6o10,ETHGlobal New York 2026,Kickoff Aivy Studio,https://ethglobal.com/showcase/kickoff-aivy-studio-f6o10,"Official New York showcase project; prize metadata noted in prior extraction",light,false,true,"Track winner/prize metadata requires sponsor reconciliation","AI agents; creator tools","unresolved","Project requires deeper sponsor and technical extraction.","Keep as a track-winner coverage gap until official detail is rechecked.","Included to force follow-up rather than losing the winner row.","Use only after source enrichment.",https://ethglobal.com/showcase/kickoff-aivy-studio-f6o10
ensfromwei-m3nj7,ETHGlobal New York 2026,ENSFromWei,https://ethglobal.com/showcase/ensfromwei-m3nj7,"Official New York showcase project; prize metadata noted in prior extraction",light,false,true,"Track winner/prize metadata requires sponsor reconciliation","ENS; identity; payments","ENS","Project requires deeper sponsor and technical extraction.","Retain as unresolved ENS winner candidate until official detail is rechecked.","Included to force sponsor-specific follow-up.","Potential Lisbon relevance for ENS payment/name tooling.",https://ethglobal.com/showcase/ensfromwei-m3nj7
tap-tap-revolution-fnvdt,ETHGlobal New York 2026,Tap Tap Revolution,https://ethglobal.com/showcase/tap-tap-revolution-fnvdt,"Predict crypto prices head-to-head; stake USDC, battle friends or ENS AI agents",light,false,true,"Track winner/prize metadata requires sponsor reconciliation","prediction games; ENS agents; USDC","ENS; payments","Prediction games need simple competition loops and settlement.","Head-to-head price prediction with stakes and ENS AI-agent opponents.","Consumer-friendly, judge-visible game loop.","Relevant to Lisbon if combined with World/ENS/payment constraints.",https://ethglobal.com/showcase/tap-tap-revolution-fnvdt
preo-rg0m9,ETHGlobal New York 2026,Preo,https://ethglobal.com/showcase/preo-rg0m9,"Neobank for private, policy-based agentic paycheck routing on Canton",light,false,true,"Track winner/prize metadata requires sponsor reconciliation","payroll; private finance; agent policy","Canton; payments","Agentic payroll needs privacy and policy controls.","Routes paychecks through private policy-based workflows.","Strong private-finance wedge but needs detail reconciliation.","Relevant for Lisbon private payment and policy-router ideas.",https://ethglobal.com/showcase/preo-rg0m9
