"project_id","event","award_bucket","project_name","url","tagline","verticals","sponsors_or_protocols","problem","solution","repo_url","demo_url","team_status","open_source_status","why_it_likely_won","lisbon_transfer","reject_risk","confidence","source_url","access_date"
"housd","Solana Frontier Hackathon 2026","top_25_winner","Housd","https://arena.colosseum.org/projects/explore/housd","housd is the onchain vault for residential real estate credit.","Real World Assets (RWA)","Solana","DeFi yield can be volatile and disconnected from real assets.","Tokenized real estate debt strategies provide stable yield access.","https://github.com/noahhaufer/housd-web","https://www.loom.com/share/19523c259aea43c7815366c2277004e7","Arena API team handles: stmartinmaxxing, noahlovesyield","repo URL exposed by Arena API; GitHub metadata unavailable or private","Likely scored for familiar asset class plus yield wedge.","Lisbon transfer requires credible collateral, compliance, and proof of yield source.","Real estate tokenization with no operational/legal moat.","high","https://api.colosseum.org/api/project?slug=housd&type=HACKATHON","2026-06-26"
"jk-index","Solana Frontier Hackathon 2026","top_25_winner","JK Index","https://arena.colosseum.org/projects/explore/jk-index","The JK Index is a collector-first truth layer for trading cards. Starting with trusted pricing, card data, portfolios, and instant listing flows for Pokémon, One Piece, and Riftbound.","Consumer Apps","Solana","Collectors need pricing, grading, and market intelligence for TCG assets.","Marketplace plus collector-driven pricing and grading platform.","https://github.com/J-a-m-e-s-o-n/jigglypuff-kingdom-index","https://youtu.be/FS4BMr0ol2w","Arena API team handles: JKIndex, Grooovy","repo URL exposed by Arena API; GitHub metadata unavailable or private","Likely scored for clear niche market with ownership/pricing mechanics.","Lisbon collectible ideas need data layer and pricing proof.","Collectible UI with no market intelligence edge.","high","https://api.colosseum.org/api/project?slug=jk-index&type=HACKATHON","2026-06-26"
"fraudsworth","Solana Frontier Hackathon 2026","top_25_winner","Dr. Fraudsworths' Fantastical Finance Factory","https://arena.colosseum.org/projects/explore/dr.-fraudsworths'-fantastical-finance-factory","Fraudsworth is a novel approach to creating a new kind of non-sovereign store of value. It combines asymmetric flipping taxes and a closed 3-token ecosystem to build the foundation for a gamified, futarchy-controlled wealth fund, where decision markets physically settle by reallocating protocol liquidity across different quote-side assets weekly.","DeFi","Solana","Games need sustainable value loops beyond speculation.","Closed-loop game uses a market intelligence liquidity fund as store-of-value mechanics.","https://github.com/MetalLegBob/dr-fraudsworth","https://youtu.be/BtfWYYlukpY","Arena API team handles: mlbob","repo URL exposed by Arena API; GitHub metadata unavailable or private","Likely scored for game/finance experimentation and closed-loop mechanics.","Lisbon game ideas need auditable economics and explainable value flow.","Opaque game economy with no inspectable mechanics.","high","https://api.colosseum.org/api/project?slug=dr.-fraudsworths'-fantastical-finance-factory&type=HACKATHON","2026-06-26"
"sudont","Solana Frontier Hackathon 2026","top_25_winner","Sudont","https://arena.colosseum.org/projects/explore/sudont","The bare-metal execution firewall and local RPC for Solana. After running a passive node and seeing thousands of trapped bots fail transactions, I built Sudont. Defensively, it simulates state diffs inline via LiteSVM to block honeypots instantly. Offensively, it unlocks sub-millisecond Monte Carlo simulations for quant trading. No SaaS round-trips—just deterministic, zero-latency execution inside your decision window.","Security Tools","Solana","Agentic crypto execution can be unsafe and hard to inspect locally.","Bare-metal execution firewall and local RPC protect Solana actions.","https://github.com/sudont-labs/sudont-core","https://www.loom.com/share/8d10d5f2f2384133b5b0f63897fb098f","Arena API team handles: sudont","repo URL exposed by Arena API; GitHub metadata unavailable or private","Likely scored for urgent agent-security pain and reusable developer infrastructure.","Direct Lisbon transfer to prompt-injection firewall and local policy gate.","Security claim without reproducible repo or testable threat model.","high","https://api.colosseum.org/api/project?slug=sudont&type=HACKATHON","2026-06-26"
"yieldcompass","Solana Frontier Hackathon 2026","top_25_winner","YieldCompass","https://arena.colosseum.org/projects/explore/yieldcompass","We’re building the Moody’s of Solana DeFi.

YieldCompass is a search engine for yield opportunities: it shows what you actually earn (realized APY), and how risky it is (transparent risk ratings) to earn it.

If DeFi seriously aims at becoming the alternative to TradFi, it needs to provide better transparency standard so that everyday users can allocate capital more intelligently. That's the gap we close.","Data & Analytics","Solana","Yield users chase headline APY without risk-adjusted context.","Search engine shows realized APY and transparent protocol risk scores.","https://github.com/KyrosFi/yieldcompass-api","https://www.loom.com/share/ecf22a9a07214f0fb5a367907b56204b","Arena API team handles: tradetheflow, YieldCompass","repo URL exposed by Arena API; GitHub metadata unavailable or private","Likely scored because it turns DeFi yield into a decision metric.","Directly reinforces Lisbon LVR/risk scorecard pattern.","Yield dashboard with no transparent scoring or action.","high","https://api.colosseum.org/api/project?slug=yieldcompass&type=HACKATHON","2026-06-26"
"clawpump","Solana Frontier Hackathon 2026","top_25_winner","Clawpump","https://arena.colosseum.org/projects/explore/clawpump","The house of agentic finance. ClawPump deploys Eternal DeFi Agents on Solana. We launch autonomous entities that can trade, launch tokens, earn 65% of creator fees, and fund their own compute forever. We processed $65M+ volume. 3K+ agents. ~$650K in rev with $450K distributed. We've integrated 80+ tools across 12 skills: swaps, sniping, lending, perp DEX arbitrage, prediction markets, automations, Agentic Auction Marketplaces. One agent. Every market. We are creating worldwide agentic finance.","AI Platforms / Agents","Solana; agents","Users want automated crypto strategies across many execution surfaces.","Finance agents execute swaps, sniping, lending, arbitrage, prediction markets, and automations.","https://github.com/Clawpump/Ai-Agents-Dashboard","https://youtu.be/JvCu5Z_UCBE","Arena API team handles: ConejoCapital, tomii204","repo URL exposed by Arena API; GitHub metadata unavailable or private","Likely scored for broad agent-finance ambition and Solana execution surface.","Lisbon transfer only if scoped to one controlled, auditable action.","Agent platform too broad with no guardrails or audit trail.","high","https://api.colosseum.org/api/project?slug=clawpump&type=HACKATHON","2026-06-26"
"one-arena","Solana Frontier Hackathon 2026","top_25_winner","One Arena","https://arena.colosseum.org/projects/explore/one-arena","Battle and profit with onchain trading cards. Application layer of tokenized TCG.","Consumer Apps","Solana","TCG players need ownership and economic layers around gameplay.","Onchain collectibles power battle and profit loops.","https://github.com/0x-noot/one_arena","https://www.loom.com/share/23519b1b9d1042b2b5bdac95db452b1a","Arena API team handles: Natsuki, nootnoot","repo URL exposed by Arena API; GitHub metadata unavailable or private","Likely scored for combining game loop with ownership economy.","Lisbon transfer if asset ownership changes gameplay or rewards.","Game with no crypto-native ownership reason.","high","https://api.colosseum.org/api/project?slug=one-arena&type=HACKATHON","2026-06-26"
"stablecorp","Solana Frontier Hackathon 2026","top_25_winner","stablecorp","https://arena.colosseum.org/projects/explore/stablecorp","StableCorp is the business infrastructure for remote founders earning in stablecoins. One platform to go from earning USDC to running a real business: US LLC formation, stablecoin treasury with yield, multi-rail invoicing (stablecoins, ACH, SEPA), and full compliance (bookkeeping, FEMA filings, US + India tax filing)","FinTech","Solana; stablecoins","Remote founders earning in stablecoins need business operations infrastructure.","Business infrastructure focused on stablecoin income and founder workflows.","https://github.com/usexelio/bizOS","https://youtu.be/un1Nbsn2FFI","Arena API team handles: 10KRotator, kanak_abhi, frikinomad","repo URL exposed by Arena API; GitHub metadata unavailable or private","Likely scored for specific geography/user wedge and stablecoin utility.","Lisbon stablecoin ideas need a narrow user segment and operational flow.","Generic neobank without a focused wedge.","high","https://api.colosseum.org/api/project?slug=stablecorp&type=HACKATHON","2026-06-26"
"the-syndicate","Solana Frontier Hackathon 2026","top_25_winner","The Syndicate","https://arena.colosseum.org/projects/explore/the-syndicate","You run a crew. Your crew earns money while you sleep.

The Syndicate is a no-token, skill-weighted, provably auditable mafia card league where USDC pack revenue funds transparent prize pools. Your cards battle for territory, perform hustles for $RACKET; the in-game currency, all while you're away. Spend $RACKET to upgrade your Capos.

Check in a few times a day. Each session takes under 2 minutes. The game runs whether you're there or not.","Gaming","Solana; USDC","Card leagues need credible skill weighting and transparent prize pools.","Skill-weighted auditable mafia card league funds prize pools from USDC pack revenue.","https://github.com/nftimm-dev/the-syndicate","https://youtu.be/nvI9xx_EMeE","Arena API team handles: Pompey, TheShenDon, nftimm","repo URL exposed by Arena API; GitHub metadata unavailable or private","Likely scored for a complete game economy with transparent funds flow.","Lisbon games need auditable pools and deterministic proof artifacts.","Game economy with opaque prizes or luck-only mechanics.","high","https://api.colosseum.org/api/project?slug=the-syndicate&type=HACKATHON","2026-06-26"
"dashx-1","Solana Frontier Hackathon 2026","top_25_winner","DashX","https://arena.colosseum.org/projects/explore/dashx-1","DashX is the stablecoin infra for compliant cross border payments, aimed for emerging markets like India. We orchestrate USDC settlement rails with licensed banking partners to deliver instant INR payouts via UPI/IMPS, no compliance overhead for our clients. Processing $400K+/month and doubling MoM, we're building the programmable money layer starting with the world's largest remittance corridor, expanding to EU and UAE next.","FinTech","Solana; stablecoins","Cross-border payments remain slow, costly, and compliance-heavy in emerging markets.","Stablecoin infra targets compliant payments for emerging-market corridors.","https://github.com/DashX-web3/gateway-prod","https://youtu.be/5VwLyFpi6aw","Arena API team handles: dhruvgera, vedantutage03","repo URL exposed by Arena API; GitHub metadata unavailable or private","Likely scored for large market, compliance framing, and clear geography.","Lisbon transfer needs exact corridor, compliance artifact, and payment proof.","Payments app with no compliance/distribution edge.","high","https://api.colosseum.org/api/project?slug=dashx-1&type=HACKATHON","2026-06-26"
"nomu-1","Solana Frontier Hackathon 2026","top_25_winner","Nomu","https://arena.colosseum.org/projects/explore/nomu-1","Nomu is the first supply chain autopilot for consumer brands

We're 4 builders from SwissBorg, Alibaba, Uni of Oxford & 42 Blockchain. At Cypherpunk we placed 5th in the Consumer Track with our rev-sahre gacha selling 1M in blind boxes w/ MonkeDAO & dVIN. We realised that bigger opportunity is what happens after the sale.

We provide brands a physical supply chain out of the box. Sourcing, manufacturing, QA, warehousing, global fulfilment, tax, returns & support. All under one roof.","AI Platforms / Agents","Solana","Physical commerce needs bundled supply chain and payout operations.","All-in-one physical supply chain with sourcing, QA, warehousing, fulfillment, tax, payouts, and support.","https://github.com/NomuDev/nomu-colosseum-cypherpunk","https://youtu.be/T8xDHGzF7-c","Arena API team handles: dlophem, kriskolton, mattdgn, tbazile","repo URL exposed by Arena API; GitHub metadata unavailable or private","Likely scored for full-stack real-world operations ambition.","Lisbon transfer if proof artifacts track QA, payouts, and fulfillment state.","Operations wrapper with no crypto-specific coordination benefit.","high","https://api.colosseum.org/api/project?slug=nomu-1&type=HACKATHON","2026-06-26"
"cesto","Solana Frontier Hackathon 2026","top_25_winner","Cesto (Prev Lomen)","https://arena.colosseum.org/projects/explore/cesto-(prev-lomen)","At Cesto, we enable retail investors to go from idea to trade in one click. Cesto means basket. We are building thematic investment baskets on Solana with real-world assets, prediction markets and perps. Currently, every time a person encounters a narrative, watches the news, and wants to place a trade, they have to go through a series of steps and do it themselves.. or they have to give their money to someone else. This trade-off between convenience and control, is what Cesto solves for.","Consumer Apps","Solana","Users want theme-based exposure across multiple crypto-native and real-world assets.","Thematic baskets combine RWAs, prediction markets, and perps.","https://github.com/cesto-co/cesto","https://www.youtube.com/watch?v=K403sxMa4D0","Arena API team handles: jasonr, 0xLakshya, madhavbdev, ankittailor, viral","repo URL exposed by Arena API; GitHub metadata unavailable or private","Likely scored for clean consumer investment packaging.","Lisbon transfer only with a proof-driven allocator or risk score.","Basket app with no unique execution/risk primitive.","high","https://api.colosseum.org/api/project?slug=cesto-(prev-lomen)&type=HACKATHON","2026-06-26"
"crafts-1","Solana Frontier Hackathon 2026","top_25_winner","Crafts","https://arena.colosseum.org/projects/explore/crafts-1","Crafts is a Solana platform for Stakeholder Token Offerings: a new way for startups to raise with equity-linked tokens. Each launch combines VC-compatible legal structuring, sealed-bid price discovery, token-native liquidity, and transparent treasury controls so early supporters can participate in real company upside.","Real World Assets (RWA)","Solana","Startups need new financing models that align stakeholders.","Stakeholder Token Offerings connect fundraising with equity-linked tokens.","https://github.com/momentum-labz/crafts","https://youtu.be/4HIgikZlpb8","Arena API team handles: abo, pfo, yellowfish, clemens","repo URL exposed by Arena API; GitHub metadata unavailable or private","Likely scored for ambitious startup-financing primitive.","Lisbon transfer requires legal/compliance framing and clear stakeholder mechanics.","Token offering with no compliance or investor protection story.","high","https://api.colosseum.org/api/project?slug=crafts-1&type=HACKATHON","2026-06-26"
"memetic-machines","Solana Frontier Hackathon 2026","top_25_winner","Memetic Machines / War Machine","https://arena.colosseum.org/projects/explore/memetic-machines-war-machine","WARMACHINE.FUN is programmable news that turns high-frequency geopolitical events into tradeable YES/NO markets structured within a real-time analytical intelligence layer","DeFi","Solana","Fast geopolitical events are hard to price and trade with structured context.","News intelligence layer turns events into real-time YES/NO markets.","https://github.com/memeticmachines/warmachine","https://www.youtube.com/watch?v=ZcqaQ32kH2I","Arena API team handles: suleymanthe3rd, semi, ramiro","repo URL exposed by Arena API; GitHub metadata unavailable or private","Likely scored for timely event markets plus analysis layer.","Lisbon equivalent needs source integrity and resolution artifact.","News market with weak truth resolution.","high","https://api.colosseum.org/api/project?slug=memetic-machines-war-machine&type=HACKATHON","2026-06-26"
"kinnectfi","Solana Frontier Hackathon 2026","top_25_winner","KinnectFi","https://arena.colosseum.org/projects/explore/kinnectfi","KinnectFi is a dual-jurisdiction neobank designed for the 10-million-strong Philippine diaspora. We replace extractive, slow remittance pipes with a unified platform for instant stablecoin-native transfers, USD/PHP high-yield banking, and itemized spend transparency for beneficiaries. By synthesizing US earning power with Philippine spending behavior, we unlock high-margin cross-border credit and mortgages for immigrants who are currently ""financially invisible"" to legacy institutions.","FinTech","Solana; stablecoins; DeFi","Diaspora users need cross-border financial rails across jurisdictions.","Neobank uses stablecoins and DeFi for Philippine diaspora workflows.","https://github.com/akshatparwal/global-finance-platform-base44","https://youtu.be/vnLTYbmrCS8","Arena API team handles: akshatparwal, pacolitonjua","GitHub API public metadata visible; license=unresolved","Likely scored for specific market and stablecoin use case.","Lisbon transfer needs specific user corridor and compliance proof.","Generic neobank with no diaspora wedge.","high","https://api.colosseum.org/api/project?slug=kinnectfi&type=HACKATHON","2026-06-26"
"traded-gg","Solana Frontier Hackathon 2026","top_25_winner","TRADED.GG","https://arena.colosseum.org/projects/explore/traded.gg","Traded: The Onchain TCG Super App.Think OpenSea meets FOMO, built for the tokenized card era. Traded is the aggregation and execution layer for onchain collectibles, where collectors discover, trade, and showcase cards across every platform in one place. Search, Radar, Alerts, and Collection are live today. Storefronts, mobile, and native gacha next.","Consumer Apps","Solana","TCG collectible markets are fragmented across discovery and execution.","Super app aggregates and executes onchain collectible activity.","https://github.com/mkuwdev/traded-gg","https://youtube.com/shorts/Y3gm5wvyOOQ","Arena API team handles: mku","repo URL exposed by Arena API; GitHub metadata unavailable or private","Likely scored for category-specific aggregation plus execution layer.","Lisbon transfer if aggregation creates a decision/action loop.","Marketplace aggregator without execution or pricing edge.","high","https://api.colosseum.org/api/project?slug=traded.gg&type=HACKATHON","2026-06-26"
"iochain","Solana Frontier Hackathon 2026","university_award","IOChain","https://arena.colosseum.org/projects/explore/iochain","AI is racing to build new data centres while the GPUs we already have sit at 5% utilisation. IOChain turns that idle hardware into a trustable AI inference infrastructure, settled on Solana. Developers publish models, deployers run them, investors hold fractional shares in the models they back. Pay-per-call, on-chain, peer to peer. Ships with a CLI, Tauri desktop, web app, and TS + Python SDKs.","DePIN","Solana","unresolved","unresolved","https://github.com/Eric-xin/iochain","https://youtu.be/JFipqMqOm04","Arena API team handles: ericxin","repo URL exposed by Arena API; GitHub metadata unavailable or private","Official University Award winner, but product-level reasoning unresolved until project page details are accessible.","Keep as award evidence only, not strategy evidence.","Unresolved details make it unsafe as ideation anchor.","medium","https://api.colosseum.org/api/project?slug=iochain&type=HACKATHON","2026-06-26"
"zoneless","Solana Frontier Hackathon 2026","public_good_award","Zoneless","https://arena.colosseum.org/projects/explore/zoneless","Zoneless is an open-source alternative to Stripe Connect using USDC on Solana. It lets marketplaces pay their sellers globally at near-zero cost: ~$0.002 per payout vs $2+ on Stripe. It has an identical API to Stripe Connect, so developers can migrate in minutes with no code changes. Apache 2.0 licensed and fully self-hostable.","Developer Infrastructure","Solana","Solana developers need ecosystem-benefiting public goods.","Open-source developer project recognized as public good.","https://github.com/zonelessdev/zoneless","https://www.loom.com/share/882950ca0b3e48598748437fd9e32031","Arena API team handles: tinyprojects","official public-good/open-source signal; repo visibility audited in project note","Likely won because Colosseum explicitly rewards ecosystem-wide developer utility.","Strong Lisbon transfer: prioritize reusable primitives, setup docs, and upstreamable tooling.","Public good claim without public repo/setup evidence.","high","https://api.colosseum.org/api/project?slug=zoneless&type=HACKATHON","2026-06-26"
"jurassic-finance","Solana Frontier Hackathon 2026","honorable_mention","Jurassic Finance","https://arena.colosseum.org/projects/explore/jurassic-finance","unresolved","unresolved","Solana","unresolved","unresolved","unresolved","unresolved","unresolved","unresolved","Official honorable mention; product reasoning unresolved.","Do not use for Lisbon strategy until project details are extracted.","Unknown product details.","medium","https://blog.colosseum.com/announcing-the-winners-of-the-solana-frontier-hackathon/","2026-06-26"
"portara","Solana Frontier Hackathon 2026","honorable_mention","Portara","https://arena.colosseum.org/projects/explore/portara","unresolved","unresolved","Solana","unresolved","unresolved","unresolved","unresolved","unresolved","unresolved","Official honorable mention; product reasoning unresolved.","Do not use for Lisbon strategy until project details are extracted.","Unknown product details.","medium","https://blog.colosseum.com/announcing-the-winners-of-the-solana-frontier-hackathon/","2026-06-26"
"encrypt","Solana Frontier Hackathon 2026","honorable_mention","Encrypt","https://arena.colosseum.org/projects/explore/encrypt","unresolved","security; privacy unresolved","Solana","unresolved","unresolved","unresolved","unresolved","unresolved","unresolved","Official honorable mention; name suggests security/privacy but details unresolved.","Potential Lisbon transfer only after official detail extraction.","Do not infer from name alone.","medium","https://blog.colosseum.com/announcing-the-winners-of-the-solana-frontier-hackathon/","2026-06-26"
"hobba-1","Solana Frontier Hackathon 2026","honorable_mention","Hobba","https://arena.colosseum.org/projects/explore/hobba-1","unresolved","unresolved","Solana","unresolved","unresolved","unresolved","unresolved","unresolved","unresolved","Official honorable mention; product reasoning unresolved.","Do not use for Lisbon strategy until project details are extracted.","Unknown product details.","medium","https://blog.colosseum.com/announcing-the-winners-of-the-solana-frontier-hackathon/","2026-06-26"
"latinum","Solana Frontier Hackathon 2026","honorable_mention","Latinum","https://arena.colosseum.org/projects/explore/latinum","unresolved","unresolved","Solana","unresolved","unresolved","unresolved","unresolved","unresolved","unresolved","Official honorable mention; product reasoning unresolved.","Do not use for Lisbon strategy until project details are extracted.","Unknown product details.","medium","https://blog.colosseum.com/announcing-the-winners-of-the-solana-frontier-hackathon/","2026-06-26"
"riven","Solana Frontier Hackathon 2026","honorable_mention","Riven","https://arena.colosseum.org/projects/explore/riven","unresolved","unresolved","Solana","unresolved","unresolved","unresolved","unresolved","unresolved","unresolved","Official honorable mention; product reasoning unresolved.","Do not use for Lisbon strategy until project details are extracted.","Unknown product details.","medium","https://blog.colosseum.com/announcing-the-winners-of-the-solana-frontier-hackathon/","2026-06-26"
