protocol_or_standard,category,why_it_matters_for_lisbon,open_source_or_open_standard_surface,build_angle,matched_lisbon_sponsors,evidence_urls,source_quality,access_date,recheck_by
"ERC-4337 plus EIP-7702 account abstraction","wallet and account security","Agentic apps need constrained execution, sponsorship, batching, and recoverable signing without asking users to approve raw transactions.","Ethereum EIPs and open-source account-abstraction contracts","Session-key agent wallet; paymaster-gated hackathon onboarding; policy wallet for DeFi routes; EIP-7702 delegation risk scanner","ENS; World; 1inch; Uniswap Foundation","https://eips.ethereum.org/EIPS/eip-4337 ; https://eips.ethereum.org/EIPS/eip-7702 ; https://github.com/eth-infinitism/account-abstraction",official/open-source,2026-06-29,2026-07-21
"ERC-7683 cross-chain intents","DeFi routing and liquidity","Lisbon DeFi ideas can compete on execution quality instead of another swap UI by exposing solver assumptions, route guarantees, and cross-chain settlement state.","Ethereum ERC plus production Across implementation docs","Intent quality scoreboard; route-risk simulator; cross-chain payment router for agents; solver reputation index","1inch; Uniswap Foundation; The Graph","https://eips.ethereum.org/EIPS/eip-7683 ; https://docs.across.to/guides/concepts/erc-7683",official/open-standard,2026-06-29,2026-07-21
Semaphore,privacy and human verification,"World covers proof-of-human, but many Lisbon products need anonymous membership proofs, voting, endorsements, or gated access without public identity linkage.","Official Semaphore site and GitHub repo","Anonymous verified attendee poll; private allowlist claims; proof-of-membership DeFi access; human-backed agent endorsements","World; ENS; The Graph","https://semaphore.pse.dev/ ; https://github.com/semaphore-protocol/semaphore",official/open-source,2026-06-29,2026-07-21
"Sui zkLogin","identity and wallet onboarding","Sui is a visible Lisbon sponsor surface and zkLogin gives a concrete wallet primitive: OAuth-backed, self-custodial, privacy-preserving transaction authorization.","Official Sui docs and open-source Sui repo","Consumer DeFi onboarding; social login wallet with sponsored transactions; verified identity opt-in; event-local Sui payment flow","Sui; World; ENS","https://docs.sui.io/sui-stack/zklogin-integration/zklogin ; https://github.com/MystenLabs/sui",official/open-source,2026-06-29,2026-07-21
"Open Intents Framework","cross-chain intents and solver infrastructure","ERC-7683 gives a standard order shape; OIF gives hackathon teams reusable contracts, solver, aggregator, and specs instead of building the full solver stack from scratch.","Ethereum Foundation-hosted overview and public GitHub organization","Intent router for agents; solver quality monitor; sponsor-specific cross-chain action composer; OIF-to-ERC-7683 settlement explorer","1inch; Uniswap Foundation; The Graph; ENS","https://efdn.notion.site/The-Open-Intents-Framework-permissionless-cross-chain-interop-to-all-chains-29cd9895554181e2966fe6585980ca9b ; https://github.com/openintentsframework",official/open-source,2026-07-06,2026-07-21
"ERC-7579 modular smart accounts","wallet and account security","Agentic products need wallet modules that work across account implementations, not one-off session-key adapters that strand users in a single vendor stack.","Ethereum ERC and ERC-7579 developer docs","Portable agent-permission module; wallet module risk scanner; session-key install/revoke dashboard; cross-wallet policy module demo","ENS; World; 1inch; Uniswap Foundation","https://eips.ethereum.org/EIPS/eip-7579 ; https://erc7579.com/",official/open-standard,2026-07-06,2026-07-21
"ERC-7715 wallet permissions","wallet permissions and agent automation","Scoped wallet permissions are the missing UX layer between EIP-7702/4337 execution and agent actions users can safely pre-authorize.","Ethereum ERC and wallet-permission examples","Daily spend permission for x402 agents; subscription agent with expiry rules; user-facing permission diff; delegated DeFi rebalancer guardrail","World; 1inch; ENS; Uniswap Foundation","https://eips.ethereum.org/EIPS/eip-7715 ; https://github.com/MetaMask/templated-gator-7715",official/open-standard,2026-07-06,2026-07-21
"Ethereum Attestation Service","identity attestations and compliance evidence","Lisbon products need inspectable claims about agents, wallets, projects, and compliance decisions; EAS supplies an open attestation substrate instead of custom trust tables.","Official EAS docs and open-source contracts/SDKs","Attested agent reputation; compliance decision receipts; verified builder credentials; product-passport claim graph indexed by The Graph","ENS; The Graph; World; Hedera","https://docs.attest.org/ ; https://github.com/ethereum-attestation-service/eas-contracts ; https://github.com/ethereum-attestation-service/eas-sdk",official/open-source,2026-07-06,2026-07-21
"Circle CCTP","cross-chain USDC and payment liquidity","Agent commerce and DeFi routing demos need native USDC movement without liquidity-pool bridge assumptions; current CCTP adds fast transfer and hooks surfaces.","Circle developer docs and official EVM CCTP contracts","Cross-chain x402 settlement; agent payroll in native USDC; route payment after intent fill; liquidity rebalance monitor","1inch; Uniswap Foundation; The Graph","https://developers.circle.com/cctp ; https://github.com/circlefin/evm-cctp-contracts",official/open-source,2026-07-06,2026-07-21
"The Compact","resource locks for intents","Reusable resource locks turn cross-chain intents into credible commitments, giving Lisbon teams a concrete primitive for escrow, fills, claims, and arbiter logic.","Uniswap developer docs and open-source contracts","Agent escrow primitive; solver collateral monitor; cross-chain service-level compact; claim/arbiter explorer for failed routes","Uniswap Foundation; 1inch; The Graph","https://developers.uniswap.org/docs/protocols/the-compact/overview ; https://github.com/Uniswap/the-compact",official/open-source,2026-07-06,2026-07-21
"EigenDA","data availability and verifiable storage","Storage/DA ideas need more than blob upload demos: EigenDA gives an Ethereum-aligned DA layer for rollup data, large attestations, and agent evidence trails.","EigenDA protocol spec and Layr-Labs GitHub repo","DA-backed agent memory log; verifiable compliance evidence blob; rollup/data feed availability monitor; DA cost comparison dashboard","0G; The Graph; ENS","https://layr-labs.github.io/eigenda/ ; https://github.com/Layr-Labs/eigenda",official/open-source,2026-07-06,2026-07-21
