source_id,source_url,publisher,accessed_at,event,track,claim,source_quality,confidence,status
DP019,https://ethglobal.com/showcase/azimuth-7w256,ETHGlobal and entrant,2026-07-16T13:21:22Z,ETHGlobal New York 2026,winner comparable,"Azimuth combined Walrus Hedera and ENS in a high-proof-density workflow.",official_showcase_self_reported,medium,CONFIRMED_AWARD_UNVERIFIED_RUNTIME
DP020,https://ethglobal.com/showcase/npmguard-aeihd,ETHGlobal and entrant,2026-07-16T13:21:22Z,ETHGlobal Cannes 2026,winner comparable,"npmguard used ENS as a package-audit trust registry; similar ideas were rejected.",official_showcase_self_reported,medium,CONFIRMED_AWARD_UNVERIFIED_RUNTIME
DP021,https://github.com/elbarroca/ETH_Global_Cannes_2026,AlphaDawg contributors,2026-07-16T13:21:22Z,ETHGlobal Cannes 2026,AlphaDawg baseline,"Public repository clean at supplied SHA with two substantive human contributors and no complete root license.",primary_repository_direct,high,BLOCKED_RIGHTS
DP022,https://ethglobal.com/events/lisbon2026/info/details,ETHGlobal,2026-07-16T13:49:13Z,ETHGlobal Lisbon 2026,global,"A project may select up to three Partner Prizes; one selected partner exposes all its tracks without proving multiple wins.",primary_official_event_guide,high,CONFIRMED
DP023,https://ethglobal.com/events/lisbon2026/prizes/world,ETHGlobal,2026-07-16T13:49:13Z,ETHGlobal Lisbon 2026,World,"World exposes a $15000 pool but still says prize details coming soon.",primary_official_dynamic,high,PENDING
DP024,https://github.com/hedera-dev/scaffold-hbar/tree/templates/cross-chain-dca,Hedera Developers,2026-07-16T13:56:14Z,ETHGlobal Lisbon 2026,Hedera Cross-Chain Automation,"Official starter implements Schedule Service self-reschedule to Axelar GMP to Sepolia Uniswap v3; observed branch HEAD e172c41065c206cfe033979fb68c4ee98890e52e.",primary_official_starter,high,CONFIRMED_WITH_DEMO_LIMITATIONS
DP025,https://ethglobal.com/events/lisbon2026/prizes,ETHGlobal,2026-07-16T14:06:58Z,ETHGlobal Lisbon 2026,all,"Latest supplied official snapshot: eight partners; $86000 total pools; fifteen released tracks; World and The Graph pending. Supersedes the earlier $84000/thirteen-track capture.",primary_official_dynamic,high,CONFIRMED_SUPERSEDES_DP001
DP026,https://ethglobal.com/events/lisbon2026/prizes/0g,ETHGlobal and 0G,2026-07-16T14:06:58Z,ETHGlobal Lisbon 2026,0G,"Product pays $3000/$2000/$1000; Infrastructure pays $1500 to three teams; Keep Building pays $1500 to three teams.",primary_official_dynamic,high,CONFIRMED
DP027,https://ethglobal.com/events/lisbon2026/prizes/hedera,ETHGlobal and Hedera,2026-07-16T14:06:58Z,ETHGlobal Lisbon 2026,Hedera,"Agentic pays $3000 to two teams; Tokenization $1500 to two; No Solidity $1000 to three; Cross-Chain $1000 to three.",primary_official_dynamic,high,CONFIRMED
DP028,https://ethglobal.com/events/lisbon2026/prizes/uniswap-foundation,ETHGlobal and Uniswap Foundation,2026-07-16T14:06:58Z,ETHGlobal Lisbon 2026,Uniswap,"API Integration pays $4000/$2000/$1000; Stack Contribution pays $1000/$1000/$1000.",primary_official_dynamic,high,CONFIRMED_FORM_STILL_BLOCKED
DP029,https://ethglobal.com/events/lisbon2026/prizes/ens,ETHGlobal and ENS,2026-07-16T14:06:58Z,ETHGlobal Lisbon 2026,ENS,"ENS publishes Most Creative $1500, AI Agents $1500, and Continuity $2000; all require functional non-hardcoded demos and Sunday-morning booth presentation.",primary_official_dynamic,high,CONFIRMED_NEW_TRACKS
