source_id,url,title,publisher,access_timestamp,track_or_category,source_quality,claim_supported,confidence,notes
"P011","https://ethglobal.com/events/lisbon2026/prizes/ens","ENS Lisbon Prizes","ENS and ETHGlobal","2026-07-16T11:55:05Z","Most Creative Use of ENS","primary_official_partner_rule","The From Scratch track pays one team 1500 dollars and requires functional non-hardcoded ENS use plus video or live link and Sunday booth presentation.","high","Regular-track admission remains conditional for AlphaDawg."
"P011B","https://ethglobal.com/events/lisbon2026/prizes/ens","ENS Lisbon Prizes","ENS and ETHGlobal","2026-07-16T11:55:05Z","Best ENS Integration for AI Agents","primary_official_partner_rule","The From Scratch track pays one team 1500 dollars for functional ENS identity discovery trust or coordination for agents plus video or live link and Sunday booth presentation.","high","Regular-track admission remains conditional for AlphaDawg."
"P011C","https://ethglobal.com/events/lisbon2026/prizes/ens","ENS Lisbon Prizes","ENS and ETHGlobal","2026-07-16T11:55:05Z","Best ENS Continuity Integration","primary_official_partner_rule","The Continuity track pays one team 2000 dollars for a material new ENS integration in an existing product plus video or live link and Sunday booth presentation.","high","Primary AlphaDawg track."
"P012","https://ethglobal.com/events/lisbon2026/prizes/the-graph","The Graph Lisbon Prize","The Graph and ETHGlobal","2026-07-16T11:55:05Z","details pending","primary_official_partner_page","The Graph pool is 15000 dollars; track names, splits, categories and evidence requirements are not published.","high","Count zero until details publish."
"P013","https://ethglobal.com/events/lisbon2026/prizes/world","World Lisbon Prize","World and ETHGlobal","2026-07-16T11:55:05Z","details pending","primary_official_partner_page","World pool is 15000 dollars; track names, splits, categories and evidence requirements are not published.","high","Count zero until details publish."
"C001","https://ethglobal.com/events/newyork2026","ETHGlobal New York 2026","ETHGlobal","2026-07-16T12:02:14Z","Continuity precedent","primary_official_dynamic","New York introduced From Scratch, Extend Open Source and Ship a Feature with team size one to five and up to three sponsor integrations.","high","Precedent is not a Lisbon guarantee."
"C002","https://ethglobal.com/events/newyork2026/prizes","New York 2026 Prizes","ETHGlobal and prize partners","2026-07-16T12:02:14Z","Continuity track labels","primary_official_partner_rule","New York published partner-specific Continuity tracks for Arc, Sui, Hedera, Chainlink, Uniswap, ENS, Privy and Blink.","high","Same-partner multi-award policy was not established."
"C003","https://ethglobal.com/showcase/immunity-eg56a","Immunity","ETHGlobal project showcase","2026-07-16T12:02:14Z","Continuity finalist and winner","primary_result_plus_self_report","The project declares Continuity and official metadata records ENS, Chainlink and ETHGlobal finalist awards.","high","Implementation depth is project self-report."
"C004","https://ethglobal.com/showcase/thurman-protocol-q8iiy","Thurman Protocol","ETHGlobal project showcase","2026-07-16T12:02:14Z","multi-partner Continuity winner","primary_result_plus_self_report","Official metadata records Arc Continuity first and Chainlink Best Upgrade; the project isolates the weekend staging-branch delta.","high","External webhook and staging dependencies reduce reproducibility."
"C005","https://ethglobal.com/showcase/azimuth-7w256","Azimuth","ETHGlobal project showcase","2026-07-16T12:02:14Z","three-partner Continuity winner","primary_result_plus_self_report","Official metadata records ENS Continuity, Sui existing-product and Hedera automation awards.","high","Physical SDR and multi-dashboard proof are difficult to reproduce."
"C006","https://ethglobal.com/showcase/bitrouter-mu1z5","bitrouter","ETHGlobal project showcase","2026-07-16T12:02:14Z","multi-partner Continuity winner","primary_result_plus_self_report","Official metadata records Arc Continuity and Sui existing-product awards; the project discloses an operational outage.","high","Useful resilience precedent."
"C007","https://ethglobal.com/showcase/chatter-hczx1","Chatter","ETHGlobal project showcase","2026-07-16T12:02:14Z","Uniswap Continuity winner","primary_result_plus_self_report","The project declares Extend Open Source and official metadata records Uniswap Stack Contribution plus an ENS pool award.","high","Tokenized-equity path was quote-only."
"C008","https://ethglobal.com/showcase/pampalo-private-swap-2g5bs","Pampalo Private Swap","ETHGlobal project showcase","2026-07-16T12:02:14Z","Uniswap Continuity winner","primary_result_plus_self_report","Official metadata records Uniswap Stack Contribution; the project demonstrates a client-side private Uniswap v3 swap circuit and contract.","high","No claim that this proves Lisbon regular-track access."
"W001","https://ethglobal.com/showcase/alpha-dawg-fh6vm","Alpha Dawg","ETHGlobal project showcase","2026-07-16T12:02:14Z","Cannes baseline","primary_result_plus_self_report","Official metadata records two awards; the published architecture combines 0G and Hedera in a broad agentic trading stack.","high","Lisbon should outperform its breadth and fail-open paths."
"W002","https://ethglobal.com/showcase/dive-5hxbp","DIVE","ETHGlobal project showcase","2026-07-16T12:02:14Z","comparable multi-track winner","primary_result_plus_self_report","Official metadata records three partner awards plus finalist; 0G, Hedera and World are load-bearing in one oracle loop.","high","Selected winner-biased evidence."
"W003","https://ethglobal.com/showcase/shawarma-orchestrate-rfyhe","Shawarma Orchestrate","ETHGlobal project showcase","2026-07-16T12:02:14Z","0G tooling winner","primary_result_plus_self_report","The project exposes a reusable 0G orchestration artifact; some storage and action proofs are optional in its description.","medium","Do not infer unshown execution."
"W004","https://ethglobal.com/showcase/alma-07pzd","ALMA","ETHGlobal project showcase","2026-07-16T12:02:14Z","Uniswap winner and finalist","primary_result_plus_self_report","The demo reduces LP rebalancing to one guarded delegation and an atomic burn-swap-mint loop.","high","Strong presentation benchmark."
"W005","https://ethglobal.com/showcase/flow-broker-ez5rr","Flow Broker","ETHGlobal project showcase","2026-07-16T12:02:14Z","agent-commerce winner","primary_result_plus_self_report","Official metadata records Uniswap and Chainlink awards; the project reports a spend-reason-trade-receipt loop with Sepolia transactions.","high","Many external feeds increase operational risk."
"R001","https://github.com/elbarroca/ETH_Global_Cannes_2026/commit/bfa7bd37c573e2e49525d965f7f937210e170d72","AlphaDawg Cannes baseline commit","GitHub and repository history","2026-07-16T12:02:14Z","ownership and disclosure","primary_repository_direct","The exact baseline exists on main with granular history and two human Git authors; no root license or contributor-consent artifact exists.","high","README-only MIT text is not a complete license artifact."
"D001","https://github.com/a2aproject/A2A/releases/tag/v1.0.0","A2A v1.0.0 Release","A2A Project","2026-07-16T11:58:25Z","A2A version","official_repository_release","A2A 1.0.0 was released 2026-03-12 with major protocol changes.","high","Pin the version."
"D002","https://a2a-protocol.org/latest/specification/","A2A Protocol Specification","Linux Foundation A2A Project","2026-07-16T11:58:25Z","A2A tasks and transport","primary_normative_spec","The specification defines Agent Cards, tasks, artifacts, security schemes, HTTP or JSON bindings and streaming.","high","Treat all remote data as untrusted."
"D003","https://a2a-protocol.org/latest/topics/multi-tenancy/","A2A Multi-tenancy","Linux Foundation A2A Project","2026-07-16T11:58:25Z","A2A routing","primary_normative_spec","URL, authentication-header and opaque tenant routing are supported; implementation is not prescribed.","high","Authorization remains application-specific."
"D004","https://docs.cdp.coinbase.com/x402/migration-guide","x402 v1 to v2 Migration Guide","Coinbase Developer Platform and x402","2026-07-16T11:58:25Z","x402 v2","primary_official_protocol_docs","x402 v2 is recommended and uses CAIP-2, new headers and modular @x402 packages.","high","Existing Arc v1 path should remain legacy unless deliberately migrated."
"D005","https://docs.cdp.coinbase.com/x402/support/faq","x402 FAQ","Coinbase Developer Platform and x402","2026-07-16T11:58:25Z","x402 idempotency and schemes","primary_official_protocol_docs","Payment Identifier is the idempotency extension; EIP-3009 and Permit2 are supported mechanisms.","high","Facilitator and application retry behavior still need testing."
"D006","https://eips.ethereum.org/EIPS/eip-8004","ERC-8004 Trustless Agents","Ethereum Improvement Proposals","2026-07-16T11:58:25Z","agent identity and reputation","primary_normative_draft","ERC-8004 is Draft and specifies identity, reputation and validation registries while leaving payments orthogonal.","high","Never call it finalized."
"D007","https://eips.ethereum.org/EIPS/eip-8183","ERC-8183 Agentic Commerce","Ethereum Improvement Proposals","2026-07-16T11:58:25Z","agent job escrow","primary_normative_draft","ERC-8183 is Draft and specifies client-provider-evaluator job escrow with explicit hook and trust risks.","high","Rejected from Lisbon core."
"D008","https://hedera.com/blog/hedera-agent-kit-v4-policies-modular-packages-and-plugin-updates/","Hedera Agent Kit v4","Hedera","2026-07-16T11:58:25Z","Hedera Agent Kit","official_announcement","Agent Kit v4 adds modular packages, policies and hooks and references a Hedera x402 exact scheme.","high","Announcement is not a substitute for a Testnet smoke."
"D009","https://hol.org/docs/standards/hcs-14/","HCS-14 Universal Agent IDs","Hashgraph Online","2026-07-16T11:58:25Z","HCS-14","primary_ecosystem_draft_spec","HCS-14 is Draft and defines deterministic protocol-agnostic UAIDs.","high","Optional identity metadata only."
"D010","https://hol.org/docs/libraries/standards-sdk/hcs-14/tx/","HCS-14 Transaction Note","Hashgraph Online","2026-07-16T11:58:25Z","HCS-14 transaction boundary","official_ecosystem_docs","HCS-14 defines no onchain transaction and UAIDs can be generated offline.","high","UAID generation is not sponsor transaction proof."
"D011","https://github.com/Universal-Commerce-Protocol/ucp","Universal Commerce Protocol","UCP Project","2026-07-16T11:58:25Z","UCP","official_repository_spec","UCP defines discovery, checkout, order, identity-linking and payment-token exchange; current tagged release is v2026-04-08.","high","Retail orientation is a poor AlphaDawg fit."
"D012","https://developers.google.com/merchant/ucp/guides/integration-ui/overview","Google Merchant UCP Integration","Google","2026-07-16T11:58:25Z","UCP deployment status","official_product_docs","Google Merchant UCP integration is a limited US and selected-merchant pilot.","high","Do not imply broad production availability."
"D013","https://docs.hedera.com/api-reference/topics/list-topic-messages-by-id","List Topic Messages by ID","Hedera","2026-07-16T11:58:25Z","HCS and Mirror Node","primary_official_api_docs","Mirror topic messages expose consensus timestamp, payer, sequence and running hash.","high","Pair indexed data with the consensus receipt."
"D014","https://hips.hedera.com/hip/hip-1215","HIP-1215 Scheduled Contract Calls","Hiero HIPs","2026-07-16T11:58:25Z","generalized scheduling","primary_normative_proposal","HIP-1215 is Last Call and its reference implementation remains in progress.","high","Live target-network proof is mandatory before claiming availability."
"D015","https://www.axelar.network/blog/axelar-hedera-integration","Axelar Hedera Integration","Axelar Foundation","2026-07-16T11:58:25Z","Axelar GMP","official_announcement","Axelar announced Hedera connectivity for cross-chain transfers and contract calls on 2026-02-24.","medium","Exact Lisbon testnet route and deployments remain unconfirmed."
"D016","https://docs.0g.ai/developer-hub/building-on-0g/compute-network/inference","0G Compute Inference","0G","2026-07-16T11:58:25Z","0G Compute and Private Computer","primary_official_protocol_docs","0G documents Router versus Direct guidance, TeeML versus TeeTLS guarantees and direct response verification.","high","Use Direct proof as primary judge evidence."
"D017","https://docs.0g.ai/developer-hub/building-on-0g/storage/sdk","0G Storage SDK","0G","2026-07-16T11:58:25Z","0G Storage","primary_official_protocol_docs","The SDK supports uploads, Merkle roots and proof-verified downloads.","high","Encrypt private task data."
"D018","https://docs.0g.ai/developer-hub/building-on-0g/agentic-id/overview","0G Agentic ID Overview","0G","2026-07-16T11:58:25Z","0G Agentic ID","official_protocol_docs","0G Agentic IDs use ERC-7857 concepts for encrypted metadata and advertise ERC-8004 compatibility.","high","Separate product; reject from critical path."
"D019","https://eips.ethereum.org/EIPS/eip-7857","ERC-7857 AI Agents NFT","Ethereum Improvement Proposals","2026-07-16T11:58:25Z","agent NFT status","primary_normative_spec","ERC-7857 is Final and covers AI-agent NFTs with private metadata and verifiable transfer.","high","Final status does not make a full transfer integration cheap."
"D020","https://developers.uniswap.org/docs/trading/swapping-api/integration-guide","Uniswap Swapping API Integration Guide","Uniswap Labs","2026-07-16T11:58:25Z","Uniswap API core","primary_official_api_docs","The guide defines approval, quote, swap or order, status, route variants, Permit2 and integrator responsibilities.","high","Returned calldata must not be modified."
"D021","https://developers.uniswap.org/docs/trading/swapping-api/chained-actions-integration","Uniswap Chained Actions Integration","Uniswap Labs","2026-07-16T11:58:25Z","Uniswap chained routes","primary_official_api_docs","The plan state machine is exact-input only and requires per-step proof and recovery handling.","high","Maximal-only due stranded-asset risk."
"D022","https://blog.uniswap.org/tokenized-securities-are-live","Tokenized Securities Are Live","Uniswap Labs","2026-07-16T11:58:25Z","tokenized assets","official_announcement","Tokenized-asset API support exists but assets can require KYC, whitelisting and jurisdictional eligibility.","high","Availability is not user eligibility."
"D023","https://developers.uniswap.org/docs/uniswap-ai/overview","Uniswap AI Overview","Uniswap Labs","2026-07-16T11:58:25Z","uniswap-ai","official_developer_docs","Uniswap publishes an official plugin and skill inventory for AI-assisted development.","high","Developer aid is not integration proof."
"D024","https://blog.uniswap.org/introducing-uniswap-trading-tools","Introducing Uniswap Trading Tools","Uniswap Labs","2026-07-16T11:58:25Z","automated trading tools","official_announcement","DCA, index and copy-trade tooling launched 2026-07-14 with cap, allowlist and kill-switch guidance.","high","Autonomous strategies are rejected from the 36-hour core."
"D025","https://registry.npmjs.org/@hashgraph%2fhedera-agent-kit","Hedera Agent Kit Package Metadata","npm registry","2026-07-16T11:58:25Z","Hedera Agent Kit version","official_package_registry","Version 4.0.0 was published 2026-04-16.","high","Registry metadata; implementation still needs a smoke."
"D026","https://registry.npmjs.org/@0gfoundation%2f0g-compute-ts-sdk","0G Compute SDK Package Metadata","npm registry","2026-07-16T11:58:25Z","0G Compute SDK version","official_package_registry","Latest stable Compute SDK is 0.8.4 at access time.","high","Pin exact version."
"D027","https://registry.npmjs.org/@0gfoundation%2f0g-storage-ts-sdk","0G Storage SDK Package Metadata","npm registry","2026-07-16T11:58:25Z","0G Storage SDK version","official_package_registry","Latest Storage SDK is 1.2.10 at access time.","high","Pin exact version."
"D028","https://registry.npmjs.org/@x402%2fcore","x402 Core Package Metadata","npm registry","2026-07-16T11:58:25Z","x402 package version","official_package_registry","Latest @x402/core is 2.18.0 at access time.","high","Do not mix v1 and v2 packages."
"O001","https://developers.uniswap.org/hackathon-feedback","Uniswap Developer Feedback Form","Uniswap Labs","2026-07-16T12:58:00Z","Uniswap qualification resource","primary_official_broken_link","The exact URL named by the Lisbon qualification returned HTTP 404.","high","Obtain the canonical form before submission; do not assume a different reachable page is equivalent."
"O002","https://www.npmjs.com/package/@hiero-ledger/sdk","Hiero Ledger JavaScript SDK","Hiero and Hedera","2026-07-16T11:58:25Z","direct Hedera SDK","official_package_registry","The direct JavaScript SDK version at access is 2.85.0 and supports deterministic native-service transactions.","high","Preferred over broad autonomous Agent Kit signing."
"O003","https://github.com/a2aproject/a2a-js","A2A JavaScript SDK","A2A Project","2026-07-16T11:58:25Z","A2A JavaScript version gap","official_repository","Stable JavaScript SDK 0.3.14 implements specification v0.3 while v1 support remains on an alpha line.","high","Do not claim A2A v1 conformance through stable JS."
"O004","https://github.com/a2aproject/A2A/releases","A2A Releases","A2A Project","2026-07-16T11:58:25Z","A2A release index","official_repository_release","The release index records A2A version history including v1.0.0.","high","Use the tagged release for exact evidence."
"O005","https://ethglobal.com/events/cannes2026/showcase","Cannes 2026 Showcase","ETHGlobal","2026-07-16T12:02:14Z","Cannes comparison set","primary_official_historical","The official showcase indexes Cannes projects and award metadata.","high","Technical descriptions are entrant-authored."
"O006","https://ethglobal.com/events/newyork2026/showcase","New York 2026 Showcase","ETHGlobal","2026-07-16T12:02:14Z","New York comparison set","primary_official_historical","The official showcase indexes New York projects and award metadata.","high","Selected examples are winner-biased."
"O007","https://docs.0g.ai/developer-hub/mainnet/mainnet-overview","0G Mainnet Overview","0G","2026-07-16T11:58:25Z","0G network","primary_official_protocol_docs","Official documentation identifies 0G mainnet configuration.","high","No mainnet use without approval and funds."
"O008","https://docs.0g.ai/developer-hub/testnet/testnet-overview","0G Galileo Testnet Overview","0G","2026-07-16T11:58:25Z","0G network","primary_official_protocol_docs","Official documentation identifies Galileo testnet configuration.","high","Recheck at kickoff."
"O009","https://blog.uniswap.org/uniswap-developer-platform-is-live","Uniswap Developer Platform Is Live","Uniswap Labs","2026-07-16T11:58:25Z","Uniswap API launch","official_announcement","The Developer Platform and Trading API became generally available 2026-04-16.","high","Runtime support still requires a current route smoke."
"O010","https://developers.uniswap.org/docs/trading/swapping-api/supported-chains","Uniswap API Supported Chains","Uniswap Labs","2026-07-16T11:58:25Z","Uniswap network support","primary_official_api_docs","Supported networks and route types are dynamic and constrain safe demo execution.","high","Do not assume a testnet or approve mainnet spend."
"O011","https://www.npmjs.com/package/hedera-agent-kit","Legacy Hedera Agent Kit","Hedera Developers","2026-07-16T11:58:25Z","Hedera Agent Kit package split","official_package_registry","Legacy hedera-agent-kit remains on the v3 line at access.","high","A modular v4 package line also exists."
"O012","https://www.npmjs.com/package/@hashgraph/hedera-agent-kit","Modular Hedera Agent Kit","Hedera","2026-07-16T11:58:25Z","Hedera Agent Kit package split","official_package_registry","The modular @hashgraph package is on the v4 line at access.","high","Package migration increases hackathon risk."
"O013","https://0g.ai/blog/0g-private-computer","0G Private Computer Launch","0G Labs Research Team","2026-07-16T11:58:25Z","0G Private Computer","official_announcement","0G documents the 2026-04-28 Private Computer launch and OpenAI-compatible verified or private inference model.","high","Event-time verification evidence remains mandatory."
"O014","https://pc.0g.ai/","0G Private Computer","0G","2026-07-16T11:58:25Z","0G Private Computer","primary_official_product","The live product describes standard verified and private trust modes while a human-readable Proof ID remains coming soon.","high","Do not claim a future Proof ID."
"O015","https://docs.0g.ai/developer-hub/building-on-0g/compute-network/router/features/verifiable-execution","0G Verifiable Execution","0G","2026-07-16T11:58:25Z","0G Compute verification","primary_official_protocol_docs","Current flow supports provider response identifiers and independent SDK verification.","high","False or missing verification must fail closed."
"O016","https://a2a-protocol.org/latest/topics/agent-discovery/","A2A Agent Discovery","Linux Foundation A2A Project","2026-07-16T11:58:25Z","A2A discovery","primary_normative_spec","Agent Cards publish identity endpoints capabilities security and skills and do not standardize a global marketplace.","high","Validate cards and remote URLs as untrusted input."
"O018","https://developers.uniswap.org/docs/trading/swapping-api/amm-vs-uniswapx-routing","AMM Versus UniswapX Routing","Uniswap Labs","2026-07-16T11:58:25Z","Uniswap routing","primary_official_api_docs","UniswapX availability depends on chain value and solver economics while CLASSIC uses AMM routing.","high","Prefer CLASSIC for the smallest demo."
"O019","https://developers.uniswap.org/docs/trading/swapping-api/chained-actions","Uniswap Chained Actions","Uniswap Labs","2026-07-16T11:58:25Z","Uniswap chained actions","primary_official_api_docs","Chained Actions adds an ordered plan state machine and creates recovery risk.","high","Rejected from the 36-hour build."
"O020","https://developers.uniswap.org/docs/trading/swapping-api/concepts/permit2","Uniswap Permit2 Approval","Uniswap Labs","2026-07-16T11:58:25Z","Uniswap Permit2","primary_official_api_docs","Permit2 data is quote-bound and must not be reused with a later quote.","high","Validate chain spender amount and expiry."
"O021","https://docs.hedera.com/hedera/core-concepts/scheduled-transaction","Hedera Scheduled Transactions","Hedera","2026-07-16T11:58:25Z","Hedera schedules","primary_official_protocol_docs","Native scheduling collects signatures and exposes execution records.","high","Keep outside the critical path."
"O022","https://docs.hedera.com/hedera/sdks-and-apis/rest-api","Hedera Mirror Node REST API","Hedera","2026-07-16T11:58:25Z","Hedera verification","primary_official_api_docs","Mirror Node exposes indexed transaction and HCS evidence after consensus.","high","Indexing lag is not transaction failure."
"O023","https://docs.x402.org/core-concepts/facilitator","x402 Facilitator","x402 Foundation","2026-07-16T11:58:25Z","x402 facilitator","primary_official_protocol_docs","The facilitator verifies payment payloads and performs settlement but does not provide application delivery idempotency.","high","Persist a task payment identifier."
"O024","https://docs.x402.org/guides/migration-v1-to-v2","x402 V1 to V2 Migration","x402 Foundation","2026-07-16T11:58:25Z","x402 migration","primary_official_protocol_docs","x402 v2 changes headers package layout and CAIP-2 identifiers.","high","Do not touch the Arc legacy path during the core build."
"O025","https://github.com/elbarroca/ETH_Global_Cannes_2026","AlphaDawg Cannes Repository","GitHub and project authors","2026-07-16T12:02:14Z","baseline provenance","primary_repository_direct","The public repository head matches the supplied baseline and contains two substantive human contributors without a complete license file.","high","Repository ownership does not settle co-author rights."
"O026","https://ucp.dev/2026-04-08/specification/overview/","Universal Commerce Protocol 2026-04-08","Universal Commerce Protocol","2026-07-16T11:58:25Z","UCP","primary_normative_spec","The current date-versioned UCP release models retail discovery checkout orders and payment-token exchange.","high","Rejected as a service-job mismatch."
"O027","https://trade-api.gateway.uniswap.org/v1","Uniswap Trading API v1 Base Endpoint","Uniswap Labs","2026-07-16T12:15:00Z","Uniswap Trading API runtime","primary_official_api_endpoint","The documented Trading API uses this v1 base endpoint; the unauthenticated root returned HTTP 404 at access and is not itself a health check.","medium","Require an authenticated endpoint smoke before implementation."
